Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:35:26+01:00;2021-03-24T12:35:44+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:07:25+01:00;2021-03-24T15:07:50+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:29:05+01:00;2021-03-24T13:29:23+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:39:10+01:00;2021-03-24T12:39:28+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:15:25+01:00;2021-03-24T15:15:50+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:34:50+01:00;2021-03-24T13:35:08+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:41:11+01:00;2021-03-24T12:41:29+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:16:30+01:00;2021-03-24T12:16:55+01:00;Temps réel
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:48:15+01:00;2021-03-24T13:48:33+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:46:55+01:00;2021-03-24T12:47:13+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:26:31+01:00;2021-03-24T12:26:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:52:05+01:00;2021-03-24T13:52:23+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:50:45+01:00;2021-03-24T12:51:03+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:30:31+01:00;2021-03-24T12:30:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:55:55+01:00;2021-03-24T13:56:13+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:56:30+01:00;2021-03-24T12:56:48+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:32:42+01:00;2021-03-24T12:33:07+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:57:50+01:00;2021-03-24T13:58:08+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T12:58:25+01:00;2021-03-24T12:58:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:38:30+01:00;2021-03-24T12:38:55+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:01:37+01:00;2021-03-24T14:01:55+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:00:20+01:00;2021-03-24T13:00:38+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:42:22+01:00;2021-03-24T12:42:47+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:03:30+01:00;2021-03-24T14:03:48+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T13:02:15+01:00;2021-03-24T13:02:33+01:00;Applicable
